Name,Class
Abbas,0
Abbe,0
Abegglen,0
Abel,0
Abeln,0
Abend,0
Abendroth,0
Aber,0
Abitz,0
Abke,0
Abt,0
Abts,0
Ach,0
Achatz,0
Achen,0
Achenbach,0
Achorn,0
Achter,0
Achterhof,0
Achziger,0
Ackermann,0
Ackert,0
Ackmann,0
Acord,0
Adami,0
Adamy,0
Addleman,0
Adel,0
Adelberg,0
Adelmann,0
Adelsberger,0
Adelsperger,0
Adelstein,0
Ader,0
Aderman,0
Aders,0
Adler,0
Adolf,0
Afflerbach,0
Affolter,0
Agler,0
Agricola,0
Ahl,0
Ahlbrecht,0
Ahles,0
Ahlf,0
Ahlgrim,0
Ahmann,0
Ahn,0
Ahr,0
Airey,0
Albach,0
Alberding,0
Alberg,0
Albitz,0
Albracht,0
Albrecht,0
Albus,0
Aldag,0
Alder,0
Aldinger,0
Alexy,0
Alger,0
Alig,0
Alleman,0
Allenbach,0
Allendorf,0
Aller,0
Allers,0
Allert,0
Allgaier,0
Allgeier,0
Allgeyer,0
Alling,0
Allinger,0
Allman,0
Alman,0
Almendinger,0
Almer,0
Alpert,0
Alpha,0
Alsdorf,0
Alsman,0
Alspach,0
Alt,0
Altemose,0
Altenbach,0
Altenburg,0
Altenburger,0
Altendorf,0
Altenhofen,0
Altepeter,0
Alter,0
Altergott,0
Althaus,0
Altheide,0
Althen,0
Althoff,0
Altig,0
Altmann,0
Altmeyer,0
Altringer,0
Altstadt,0
Altvater,0
Amacher,0
Amaker,0
Amann,0
Amberg,0
Amberger,0
Amborn,0
Ambrosius,0
Ambs,0
Ambuehl,0
Amelung,0
Amend,0
Amendt,0
Ament,0
Ames,0
Ammer,0
Ammon,0
Amrhein,0
Amsel,0
Amsler,0
Amthor,0
Anacker,0
Andelman,0
Ander,0
Anderer,0
Anderle,0
Anderman,0
Anders,0
Andes,0
Anding,0
Andler,0
Andra,0
Andrae,0
Andre,0
Andreae,0
Andris,0
Andrle,0
Angel,0
Angerhofer,0
Angerman,0
Angermeier,0
Angert,0
Anhalt,0
Anhorn,0
Anker,0
Anklam,0
Annen,0
Anschuetz,0
Anselmi,0
Anslinger,0
Ansorge,0
Anspach,0
Ansted,0
Antes,0
Anthes,0
Anthon,0
Antoni,0
Apfel,0
Apfelbaum,0
App,0
Appel,0
Appelhans,0
Appelt,0
Appenzeller,0
Appold,0
Aprill,0
Apt,0
Arant,0
Arb,0
Arbeiter,0
Ardinger,0
Arendt,0
Arensdorf,0
Arentz,0
Arenz,0
Aretz,0
Arling,0
Arlinghaus,0
Arlt,0
Arman,0
Armbrecht,0
Armbrust,0
Armbruster,0
Armes,0
Armold,0
Arms,0
Arndt,0
Arner,0
Arnhart,0
Arnhold,0
Arnholt,0
Arning,0
Arnoldi,0
Arnoldy,0
Arnot,0
Arnstein,0
Arp,0
Arras,0
Arth,0
Artz,0
Artzer,0
Arzt,0
Asch,0
Aschenbach,0
Aschenbrenner,0
Ascher,0
Aschoff,0
Asp,0
Assmann,0
Ast,0
Aster,0
Astle,0
Ater,0
Athmann,0
Attig,0
Aubel,0
Aubert,0
Aubrecht,0
Aue,0
Auen,0
Auer,0
Auerbach,0
Aufderheide,0
Aug,0
Auge,0
Augenstein,0
Auger,0
Augsburger,0
Augspurger,0
Aukamp,0
Aul,0
Aulbach,0
Aulenbach,0
Aull,0
Ault,0
Aumann,0
Aupperle,0
Aurich,0
Auringer,0
Auslander,0
Ausman,0
Aust,0
Austen,0
Auster,0
Austerman,0
Austgen,0
Austin,0
Auth,0
Aven,0
Averbach,0
Averbeck,0
Awe,0
Ax,0
Axt,0
Aydt,0
Aye,0
Baab,0
Baal,0
Baar,0
Baars,0
Babe,0
Babel,0
Baber,0
Babler,0
Babst,0
Bach,0
Bache,0
Bacher,0
Bachert,0
Bachhuber,0
